EPDG_IPv4,Reply
213.4.100.153:500,no-proposal-chosen
213.4.100.145:500,invalid-syntax
213.4.100.137:500,invalid-syntax
213.4.100.129:500,invalid-syntax
213.4.100.153:500,invalid-syntax
213.4.100.145:500,invalid-syntax
213.4.100.137:500,invalid-syntax
92.58.249.253:500,invalid-syntax
92.58.249.252:500,invalid-syntax
212.166.195.11:500,proposal-sa-accepted
212.166.195.10:500,proposal-sa-accepted
122.255.0.80:500,invalid-syntax
122.255.0.82:500,invalid-syntax
202.129.232.63:500,
202.129.232.62:500,
79.138.136.1:500,
79.138.136.2:500,
82.183.102.4:500,
82.183.102.12:500,
217.214.144.73:500,
217.214.143.70:500,no-proposal-chosen
46.140.1.8:500,
194.230.148.254:500,no-proposal-chosen
194.230.147.254:500,no-proposal-chosen
138.188.106.242:500,
138.188.106.243:500,invalid-syntax
138.188.106.240:500,invalid-syntax
138.188.106.241:500,cookie
221.120.20.11:500,proposal-sa-accepted
221.120.23.1:500,cookie
221.120.23.11:500,cookie
221.120.20.1:500,cookie
211.77.54.77:500,proposal-sa-accepted
211.77.241.91:500,proposal-sa-accepted
211.77.54.78:500,proposal-sa-accepted
211.77.241.162:500,proposal-sa-accepted
211.77.54.76:500,proposal-sa-accepted
211.77.241.161:500,proposal-sa-accepted
175.96.62.1:500,proposal-sa-accepted
175.96.63.1:500,proposal-sa-accepted
197.250.3.147:500,no-proposal-chosen
197.250.4.147:500,no-proposal-chosen
119.31.121.14:500,invalid-syntax
119.31.123.26:500,invalid-syntax
111.84.112.252:500,invalid-syntax
111.84.240.252:500,invalid-syntax
61.91.170.102:500,invalid-syntax
61.91.170.166:500,invalid-syntax
188.41.226.37:500,
188.41.229.37:500,invalid-syntax
188.41.230.27:500,invalid-syntax
188.41.228.21:500,invalid-syntax
188.59.223.1:500,invalid-syntax
188.59.221.1:500,invalid-syntax
188.59.228.1:500,
188.59.227.1:500,invalid-syntax
217.31.250.156:500,invalid-syntax
217.31.250.158:500,proposal-sa-accepted
212.65.140.70:500,invalid-syntax
69.79.196.12:500,proposal-sa-accepted
212.58.172.228:500,proposal-sa-accepted
212.58.175.228:500,proposal-sa-accepted
77.52.213.63:500,private-use-error-reporting-16404
77.52.213.127:500,private-use-error-reporting-16404
94.206.6.168:500,invalid-syntax
62.6.163.99:500,invalid-syntax
81.131.31.229:500,invalid-syntax
46.68.59.19:500,no-proposal-chosen
46.68.57.32:500,no-proposal-chosen
46.68.58.10:500,no-proposal-chosen
46.68.58.10:500,no-proposal-chosen
46.68.59.19:500,no-proposal-chosen
46.68.57.32:500,no-proposal-chosen
185.153.237.98:500,no-proposal-chosen
46.68.59.19:500,no-proposal-chosen
46.68.57.32:500,no-proposal-chosen
46.68.58.10:500,no-proposal-chosen
185.110.178.77:500,no-proposal-chosen
185.110.178.140:500,no-proposal-chosen
185.110.178.141:500,
185.110.178.76:500,
83.216.33.116:500,no-proposal-chosen
83.216.32.116:500,no-proposal-chosen
212.30.15.204:500,no-proposal-chosen
212.30.15.205:500,
66.198.180.11:500,proposal-sa-accepted
87.194.88.8:500,
87.194.89.8:500,
87.194.8.8:500,
87.194.9.8:500,
80.0.253.2:500,
62.254.96.98:500,private-use-error-reporting-8195
148.252.188.96:500,private-use-error-reporting-8195
88.82.11.208:500,
88.82.11.221:500,
162.247.206.25:500,proposal-sa-accepted
162.247.206.24:500,proposal-sa-accepted
107.122.31.81:500,
69.55.96.88:500,no-proposal-chosen
107.122.31.51:500,no-proposal-chosen
208.66.187.201:500,no-proposal-chosen
107.122.31.111:500,no-proposal-chosen
107.239.59.40:500,no-proposal-chosen
107.122.31.51:500,no-proposal-chosen
107.239.59.40:500,no-proposal-chosen
216.176.175.212:500,no-proposal-chosen
199.66.247.92:500,no-proposal-chosen
24.237.159.203:500,proposal-sa-accepted
24.237.159.140:500,proposal-sa-accepted
107.122.31.61:500,proposal-sa-accepted
208.54.39.131:500,proposal-sa-accepted
66.175.172.27:500,no-proposal-chosen
66.94.30.56:500,cookie
208.54.34.3:500,proposal-sa-accepted
198.98.254.231:500,proposal-sa-accepted
166.230.163.71:500,
166.230.162.71:500,
66.171.30.212:500,invalid-syntax
216.176.175.212:500,no-proposal-chosen
107.122.31.51:500,no-proposal-chosen
137.83.97.104:500,proposal-sa-accepted
137.83.96.104:500,proposal-sa-accepted
131.100.108.127:500,
131.100.108.126:500,no-proposal-chosen
186.8.59.96:500,
186.8.59.128:500,invalid-syntax
103.156.9.160:500,proposal-sa-accepted
103.156.38.160:500,invalid-syntax
27.68.226.241:500,proposal-sa-accepted
113.185.2.254:500,
